Types,Looptime,number,numberOfappearance,invokeperloop,percentage,
random,0,0,0,10000,0.0,
random,0,1,4931,10000,49.309999999999995,
random,0,2,1040,10000,10.4,
random,0,3,993,10000,9.93,
random,0,4,1007,10000,10.07,
random,0,5,993,10000,9.93,
random,0,6,1036,10000,10.36,
random,0,7,0,10000,0.0,
random,0,8,0,10000,0.0,
random,0,9,0,10000,0.0,
random,1,0,0,10000,0.0,
random,1,1,4911,10000,49.11,
random,1,2,990,10000,9.9,
random,1,3,1042,10000,10.42,
random,1,4,991,10000,9.91,
random,1,5,1059,10000,10.59,
random,1,6,1007,10000,10.07,
random,1,7,0,10000,0.0,
random,1,8,0,10000,0.0,
random,1,9,0,10000,0.0,
random,2,0,0,10000,0.0,
random,2,1,4994,10000,49.94,
random,2,2,995,10000,9.950000000000001,
random,2,3,1019,10000,10.190000000000001,
random,2,4,1007,10000,10.07,
random,2,5,995,10000,9.950000000000001,
random,2,6,990,10000,9.9,
random,2,7,0,10000,0.0,
random,2,8,0,10000,0.0,
random,2,9,0,10000,0.0,
random,3,0,0,10000,0.0,
random,3,1,5001,10000,50.01,
random,3,2,983,10000,9.83,
random,3,3,975,10000,9.75,
random,3,4,1004,10000,10.040000000000001,
random,3,5,990,10000,9.9,
random,3,6,1047,10000,10.47,
random,3,7,0,10000,0.0,
random,3,8,0,10000,0.0,
random,3,9,0,10000,0.0,
random,4,0,0,10000,0.0,
random,4,1,5022,10000,50.22,
random,4,2,999,10000,9.99,
random,4,3,1022,10000,10.22,
random,4,4,1011,10000,10.11,
random,4,5,1019,10000,10.190000000000001,
random,4,6,927,10000,9.27,
random,4,7,0,10000,0.0,
random,4,8,0,10000,0.0,
random,4,9,0,10000,0.0,
random,5,0,0,10000,0.0,
random,5,1,5035,10000,50.349999999999994,
random,5,2,1016,10000,10.16,
random,5,3,992,10000,9.92,
random,5,4,991,10000,9.91,
random,5,5,1005,10000,10.05,
random,5,6,961,10000,9.610000000000001,
random,5,7,0,10000,0.0,
random,5,8,0,10000,0.0,
random,5,9,0,10000,0.0,
random,6,0,0,10000,0.0,
random,6,1,5105,10000,51.05,
random,6,2,1005,10000,10.05,
random,6,3,1016,10000,10.16,
random,6,4,979,10000,9.790000000000001,
random,6,5,929,10000,9.29,
random,6,6,966,10000,9.66,
random,6,7,0,10000,0.0,
random,6,8,0,10000,0.0,
random,6,9,0,10000,0.0,
random,7,0,0,10000,0.0,
random,7,1,4984,10000,49.84,
random,7,2,973,10000,9.73,
random,7,3,1029,10000,10.290000000000001,
random,7,4,1005,10000,10.05,
random,7,5,1055,10000,10.549999999999999,
random,7,6,954,10000,9.54,
random,7,7,0,10000,0.0,
random,7,8,0,10000,0.0,
random,7,9,0,10000,0.0,
random,8,0,0,10000,0.0,
random,8,1,5012,10000,50.12,
random,8,2,976,10000,9.76,
random,8,3,1030,10000,10.299999999999999,
random,8,4,1017,10000,10.17,
random,8,5,928,10000,9.28,
random,8,6,1037,10000,10.37,
random,8,7,0,10000,0.0,
random,8,8,0,10000,0.0,
random,8,9,0,10000,0.0,
random,9,0,0,10000,0.0,
random,9,1,5030,10000,50.3,
random,9,2,1019,10000,10.190000000000001,
random,9,3,966,10000,9.66,
random,9,4,1004,10000,10.040000000000001,
random,9,5,1013,10000,10.13,
random,9,6,968,10000,9.68,
random,9,7,0,10000,0.0,
random,9,8,0,10000,0.0,
random,9,9,0,10000,0.0,
random,10,0,0,10000,0.0,
random,10,1,5034,10000,50.339999999999996,
random,10,2,987,10000,9.87,
random,10,3,1004,10000,10.040000000000001,
random,10,4,993,10000,9.93,
random,10,5,986,10000,9.86,
random,10,6,996,10000,9.959999999999999,
random,10,7,0,10000,0.0,
random,10,8,0,10000,0.0,
random,10,9,0,10000,0.0,
random,11,0,0,10000,0.0,
random,11,1,5004,10000,50.03999999999999,
random,11,2,979,10000,9.790000000000001,
random,11,3,1054,10000,10.54,
random,11,4,971,10000,9.71,
random,11,5,1016,10000,10.16,
random,11,6,976,10000,9.76,
random,11,7,0,10000,0.0,
random,11,8,0,10000,0.0,
random,11,9,0,10000,0.0,
random,12,0,0,10000,0.0,
random,12,1,4914,10000,49.14,
random,12,2,1030,10000,10.299999999999999,
random,12,3,959,10000,9.59,
random,12,4,1081,10000,10.81,
random,12,5,1035,10000,10.35,
random,12,6,981,10000,9.81,
random,12,7,0,10000,0.0,
random,12,8,0,10000,0.0,
random,12,9,0,10000,0.0,
random,13,0,0,10000,0.0,
random,13,1,5038,10000,50.38,
random,13,2,957,10000,9.569999999999999,
random,13,3,978,10000,9.78,
random,13,4,1022,10000,10.22,
random,13,5,965,10000,9.65,
random,13,6,1040,10000,10.4,
random,13,7,0,10000,0.0,
random,13,8,0,10000,0.0,
random,13,9,0,10000,0.0,
random,14,0,0,10000,0.0,
random,14,1,4871,10000,48.71,
random,14,2,1017,10000,10.17,
random,14,3,1073,10000,10.73,
random,14,4,1031,10000,10.31,
random,14,5,1008,10000,10.08,
random,14,6,1000,10000,10.0,
random,14,7,0,10000,0.0,
random,14,8,0,10000,0.0,
random,14,9,0,10000,0.0,
random,15,0,0,10000,0.0,
random,15,1,4983,10000,49.830000000000005,
random,15,2,1039,10000,10.39,
random,15,3,992,10000,9.92,
random,15,4,992,10000,9.92,
random,15,5,971,10000,9.71,
random,15,6,1023,10000,10.23,
random,15,7,0,10000,0.0,
random,15,8,0,10000,0.0,
random,15,9,0,10000,0.0,
random,16,0,0,10000,0.0,
random,16,1,4959,10000,49.59,
random,16,2,972,10000,9.719999999999999,
random,16,3,1001,10000,10.01,
random,16,4,1034,10000,10.34,
random,16,5,1030,10000,10.299999999999999,
random,16,6,1004,10000,10.040000000000001,
random,16,7,0,10000,0.0,
random,16,8,0,10000,0.0,
random,16,9,0,10000,0.0,
random,17,0,0,10000,0.0,
random,17,1,4984,10000,49.84,
random,17,2,1064,10000,10.639999999999999,
random,17,3,975,10000,9.75,
random,17,4,972,10000,9.719999999999999,
random,17,5,961,10000,9.610000000000001,
random,17,6,1044,10000,10.440000000000001,
random,17,7,0,10000,0.0,
random,17,8,0,10000,0.0,
random,17,9,0,10000,0.0,
random,18,0,0,10000,0.0,
random,18,1,4949,10000,49.49,
random,18,2,973,10000,9.73,
random,18,3,1009,10000,10.09,
random,18,4,1034,10000,10.34,
random,18,5,987,10000,9.87,
random,18,6,1048,10000,10.48,
random,18,7,0,10000,0.0,
random,18,8,0,10000,0.0,
random,18,9,0,10000,0.0,
random,19,0,0,10000,0.0,
random,19,1,5026,10000,50.260000000000005,
random,19,2,960,10000,9.6,
random,19,3,974,10000,9.74,
random,19,4,964,10000,9.64,
random,19,5,1017,10000,10.17,
random,19,6,1059,10000,10.59,
random,19,7,0,10000,0.0,
random,19,8,0,10000,0.0,
random,19,9,0,10000,0.0,
random,20,0,0,10000,0.0,
random,20,1,4960,10000,49.6,
random,20,2,1039,10000,10.39,
random,20,3,967,10000,9.67,
random,20,4,1009,10000,10.09,
random,20,5,1011,10000,10.11,
random,20,6,1014,10000,10.14,
random,20,7,0,10000,0.0,
random,20,8,0,10000,0.0,
random,20,9,0,10000,0.0,
random,21,0,0,10000,0.0,
random,21,1,4963,10000,49.63,
random,21,2,1008,10000,10.08,
random,21,3,1009,10000,10.09,
random,21,4,1000,10000,10.0,
random,21,5,1001,10000,10.01,
random,21,6,1019,10000,10.190000000000001,
random,21,7,0,10000,0.0,
random,21,8,0,10000,0.0,
random,21,9,0,10000,0.0,
random,22,0,0,10000,0.0,
random,22,1,4979,10000,49.79,
random,22,2,985,10000,9.85,
random,22,3,1035,10000,10.35,
random,22,4,1010,10000,10.100000000000001,
random,22,5,1001,10000,10.01,
random,22,6,990,10000,9.9,
random,22,7,0,10000,0.0,
random,22,8,0,10000,0.0,
random,22,9,0,10000,0.0,
random,23,0,0,10000,0.0,
random,23,1,5064,10000,50.63999999999999,
random,23,2,1008,10000,10.08,
random,23,3,1016,10000,10.16,
random,23,4,983,10000,9.83,
random,23,5,1001,10000,10.01,
random,23,6,928,10000,9.28,
random,23,7,0,10000,0.0,
random,23,8,0,10000,0.0,
random,23,9,0,10000,0.0,
random,24,0,0,10000,0.0,
random,24,1,4971,10000,49.71,
random,24,2,1020,10000,10.2,
random,24,3,1001,10000,10.01,
random,24,4,1017,10000,10.17,
random,24,5,966,10000,9.66,
random,24,6,1025,10000,10.25,
random,24,7,0,10000,0.0,
random,24,8,0,10000,0.0,
random,24,9,0,10000,0.0,
random,25,0,0,10000,0.0,
random,25,1,4981,10000,49.81,
random,25,2,991,10000,9.91,
random,25,3,1003,10000,10.03,
random,25,4,988,10000,9.879999999999999,
random,25,5,986,10000,9.86,
random,25,6,1051,10000,10.51,
random,25,7,0,10000,0.0,
random,25,8,0,10000,0.0,
random,25,9,0,10000,0.0,
random,26,0,0,10000,0.0,
random,26,1,5006,10000,50.06,
random,26,2,1025,10000,10.25,
random,26,3,976,10000,9.76,
random,26,4,1018,10000,10.18,
random,26,5,951,10000,9.51,
random,26,6,1024,10000,10.24,
random,26,7,0,10000,0.0,
random,26,8,0,10000,0.0,
random,26,9,0,10000,0.0,
random,27,0,0,10000,0.0,
random,27,1,4979,10000,49.79,
random,27,2,998,10000,9.98,
random,27,3,1008,10000,10.08,
random,27,4,1000,10000,10.0,
random,27,5,1001,10000,10.01,
random,27,6,1014,10000,10.14,
random,27,7,0,10000,0.0,
random,27,8,0,10000,0.0,
random,27,9,0,10000,0.0,
random,28,0,0,10000,0.0,
random,28,1,5066,10000,50.660000000000004,
random,28,2,1002,10000,10.02,
random,28,3,977,10000,9.77,
random,28,4,973,10000,9.73,
random,28,5,1028,10000,10.280000000000001,
random,28,6,954,10000,9.54,
random,28,7,0,10000,0.0,
random,28,8,0,10000,0.0,
random,28,9,0,10000,0.0,
random,29,0,0,10000,0.0,
random,29,1,5003,10000,50.029999999999994,
random,29,2,917,10000,9.17,
random,29,3,1009,10000,10.09,
random,29,4,1054,10000,10.54,
random,29,5,968,10000,9.68,
random,29,6,1049,10000,10.489999999999998,
random,29,7,0,10000,0.0,
random,29,8,0,10000,0.0,
random,29,9,0,10000,0.0,
random,30,0,0,10000,0.0,
random,30,1,4967,10000,49.669999999999995,
random,30,2,1002,10000,10.02,
random,30,3,995,10000,9.950000000000001,
random,30,4,937,10000,9.370000000000001,
random,30,5,1078,10000,10.780000000000001,
random,30,6,1021,10000,10.209999999999999,
random,30,7,0,10000,0.0,
random,30,8,0,10000,0.0,
random,30,9,0,10000,0.0,
random,31,0,0,10000,0.0,
random,31,1,5051,10000,50.51,
random,31,2,974,10000,9.74,
random,31,3,986,10000,9.86,
random,31,4,983,10000,9.83,
random,31,5,971,10000,9.71,
random,31,6,1035,10000,10.35,
random,31,7,0,10000,0.0,
random,31,8,0,10000,0.0,
random,31,9,0,10000,0.0,
random,32,0,0,10000,0.0,
random,32,1,5019,10000,50.19,
random,32,2,1024,10000,10.24,
random,32,3,972,10000,9.719999999999999,
random,32,4,983,10000,9.83,
random,32,5,1035,10000,10.35,
random,32,6,967,10000,9.67,
random,32,7,0,10000,0.0,
random,32,8,0,10000,0.0,
random,32,9,0,10000,0.0,
random,33,0,0,10000,0.0,
random,33,1,5046,10000,50.46000000000001,
random,33,2,944,10000,9.44,
random,33,3,993,10000,9.93,
random,33,4,1029,10000,10.290000000000001,
random,33,5,960,10000,9.6,
random,33,6,1028,10000,10.280000000000001,
random,33,7,0,10000,0.0,
random,33,8,0,10000,0.0,
random,33,9,0,10000,0.0,
random,34,0,0,10000,0.0,
random,34,1,5001,10000,50.01,
random,34,2,1017,10000,10.17,
random,34,3,999,10000,9.99,
random,34,4,999,10000,9.99,
random,34,5,1014,10000,10.14,
random,34,6,970,10000,9.700000000000001,
random,34,7,0,10000,0.0,
random,34,8,0,10000,0.0,
random,34,9,0,10000,0.0,
random,35,0,0,10000,0.0,
random,35,1,4939,10000,49.39,
random,35,2,944,10000,9.44,
random,35,3,1015,10000,10.15,
random,35,4,1076,10000,10.76,
random,35,5,1013,10000,10.13,
random,35,6,1013,10000,10.13,
random,35,7,0,10000,0.0,
random,35,8,0,10000,0.0,
random,35,9,0,10000,0.0,
random,36,0,0,10000,0.0,
random,36,1,5013,10000,50.129999999999995,
random,36,2,989,10000,9.89,
random,36,3,1030,10000,10.299999999999999,
random,36,4,938,10000,9.379999999999999,
random,36,5,1011,10000,10.11,
random,36,6,1019,10000,10.190000000000001,
random,36,7,0,10000,0.0,
random,36,8,0,10000,0.0,
random,36,9,0,10000,0.0,
random,37,0,0,10000,0.0,
random,37,1,5083,10000,50.83,
random,37,2,949,10000,9.49,
random,37,3,965,10000,9.65,
random,37,4,995,10000,9.950000000000001,
random,37,5,1043,10000,10.43,
random,37,6,965,10000,9.65,
random,37,7,0,10000,0.0,
random,37,8,0,10000,0.0,
random,37,9,0,10000,0.0,
random,38,0,0,10000,0.0,
random,38,1,5010,10000,50.1,
random,38,2,1014,10000,10.14,
random,38,3,981,10000,9.81,
random,38,4,969,10000,9.69,
random,38,5,1021,10000,10.209999999999999,
random,38,6,1005,10000,10.05,
random,38,7,0,10000,0.0,
random,38,8,0,10000,0.0,
random,38,9,0,10000,0.0,
random,39,0,0,10000,0.0,
random,39,1,4975,10000,49.75,
random,39,2,969,10000,9.69,
random,39,3,972,10000,9.719999999999999,
random,39,4,970,10000,9.700000000000001,
random,39,5,1067,10000,10.67,
random,39,6,1047,10000,10.47,
random,39,7,0,10000,0.0,
random,39,8,0,10000,0.0,
random,39,9,0,10000,0.0,
random,40,0,0,10000,0.0,
random,40,1,4992,10000,49.919999999999995,
random,40,2,954,10000,9.54,
random,40,3,1066,10000,10.66,
random,40,4,991,10000,9.91,
random,40,5,1013,10000,10.13,
random,40,6,984,10000,9.84,
random,40,7,0,10000,0.0,
random,40,8,0,10000,0.0,
random,40,9,0,10000,0.0,
random,41,0,0,10000,0.0,
random,41,1,5077,10000,50.77,
random,41,2,957,10000,9.569999999999999,
random,41,3,1004,10000,10.040000000000001,
random,41,4,1013,10000,10.13,
random,41,5,980,10000,9.8,
random,41,6,969,10000,9.69,
random,41,7,0,10000,0.0,
random,41,8,0,10000,0.0,
random,41,9,0,10000,0.0,
random,42,0,0,10000,0.0,
random,42,1,4966,10000,49.66,
random,42,2,995,10000,9.950000000000001,
random,42,3,1050,10000,10.5,
random,42,4,958,10000,9.58,
random,42,5,1043,10000,10.43,
random,42,6,988,10000,9.879999999999999,
random,42,7,0,10000,0.0,
random,42,8,0,10000,0.0,
random,42,9,0,10000,0.0,
random,43,0,0,10000,0.0,
random,43,1,4950,10000,49.5,
random,43,2,1012,10000,10.12,
random,43,3,1056,10000,10.56,
random,43,4,951,10000,9.51,
random,43,5,1043,10000,10.43,
random,43,6,988,10000,9.879999999999999,
random,43,7,0,10000,0.0,
random,43,8,0,10000,0.0,
random,43,9,0,10000,0.0,
random,44,0,0,10000,0.0,
random,44,1,4933,10000,49.33,
random,44,2,1008,10000,10.08,
random,44,3,981,10000,9.81,
random,44,4,1006,10000,10.059999999999999,
random,44,5,1069,10000,10.69,
random,44,6,1003,10000,10.03,
random,44,7,0,10000,0.0,
random,44,8,0,10000,0.0,
random,44,9,0,10000,0.0,
random,45,0,0,10000,0.0,
random,45,1,5039,10000,50.39,
random,45,2,989,10000,9.89,
random,45,3,996,10000,9.959999999999999,
random,45,4,1014,10000,10.14,
random,45,5,992,10000,9.92,
random,45,6,970,10000,9.700000000000001,
random,45,7,0,10000,0.0,
random,45,8,0,10000,0.0,
random,45,9,0,10000,0.0,
random,46,0,0,10000,0.0,
random,46,1,5064,10000,50.63999999999999,
random,46,2,1005,10000,10.05,
random,46,3,1005,10000,10.05,
random,46,4,979,10000,9.790000000000001,
random,46,5,945,10000,9.45,
random,46,6,1002,10000,10.02,
random,46,7,0,10000,0.0,
random,46,8,0,10000,0.0,
random,46,9,0,10000,0.0,
random,47,0,0,10000,0.0,
random,47,1,4969,10000,49.69,
random,47,2,969,10000,9.69,
random,47,3,1004,10000,10.040000000000001,
random,47,4,1068,10000,10.68,
random,47,5,958,10000,9.58,
random,47,6,1032,10000,10.32,
random,47,7,0,10000,0.0,
random,47,8,0,10000,0.0,
random,47,9,0,10000,0.0,
random,48,0,0,10000,0.0,
random,48,1,4931,10000,49.309999999999995,
random,48,2,1017,10000,10.17,
random,48,3,994,10000,9.94,
random,48,4,1013,10000,10.13,
random,48,5,1046,10000,10.459999999999999,
random,48,6,999,10000,9.99,
random,48,7,0,10000,0.0,
random,48,8,0,10000,0.0,
random,48,9,0,10000,0.0,
random,49,0,0,10000,0.0,
random,49,1,4952,10000,49.519999999999996,
random,49,2,1026,10000,10.26,
random,49,3,1027,10000,10.27,
random,49,4,1023,10000,10.23,
random,49,5,1000,10000,10.0,
random,49,6,972,10000,9.719999999999999,
random,49,7,0,10000,0.0,
random,49,8,0,10000,0.0,
random,49,9,0,10000,0.0,
random,50,0,0,10000,0.0,
random,50,1,4992,10000,49.919999999999995,
random,50,2,998,10000,9.98,
random,50,3,1004,10000,10.040000000000001,
random,50,4,1025,10000,10.25,
random,50,5,997,10000,9.969999999999999,
random,50,6,984,10000,9.84,
random,50,7,0,10000,0.0,
random,50,8,0,10000,0.0,
random,50,9,0,10000,0.0,
random,51,0,0,10000,0.0,
random,51,1,5013,10000,50.129999999999995,
random,51,2,1005,10000,10.05,
random,51,3,969,10000,9.69,
random,51,4,983,10000,9.83,
random,51,5,1027,10000,10.27,
random,51,6,1003,10000,10.03,
random,51,7,0,10000,0.0,
random,51,8,0,10000,0.0,
random,51,9,0,10000,0.0,
random,52,0,0,10000,0.0,
random,52,1,4990,10000,49.9,
random,52,2,1015,10000,10.15,
random,52,3,968,10000,9.68,
random,52,4,989,10000,9.89,
random,52,5,984,10000,9.84,
random,52,6,1054,10000,10.54,
random,52,7,0,10000,0.0,
random,52,8,0,10000,0.0,
random,52,9,0,10000,0.0,
random,53,0,0,10000,0.0,
random,53,1,4983,10000,49.830000000000005,
random,53,2,1029,10000,10.290000000000001,
random,53,3,1016,10000,10.16,
random,53,4,983,10000,9.83,
random,53,5,976,10000,9.76,
random,53,6,1013,10000,10.13,
random,53,7,0,10000,0.0,
random,53,8,0,10000,0.0,
random,53,9,0,10000,0.0,
random,54,0,0,10000,0.0,
random,54,1,4986,10000,49.86,
random,54,2,1023,10000,10.23,
random,54,3,1071,10000,10.71,
random,54,4,964,10000,9.64,
random,54,5,970,10000,9.700000000000001,
random,54,6,986,10000,9.86,
random,54,7,0,10000,0.0,
random,54,8,0,10000,0.0,
random,54,9,0,10000,0.0,
random,55,0,0,10000,0.0,
random,55,1,5074,10000,50.739999999999995,
random,55,2,1004,10000,10.040000000000001,
random,55,3,989,10000,9.89,
random,55,4,1013,10000,10.13,
random,55,5,985,10000,9.85,
random,55,6,935,10000,9.35,
random,55,7,0,10000,0.0,
random,55,8,0,10000,0.0,
random,55,9,0,10000,0.0,
random,56,0,0,10000,0.0,
random,56,1,4938,10000,49.38,
random,56,2,983,10000,9.83,
random,56,3,998,10000,9.98,
random,56,4,973,10000,9.73,
random,56,5,1048,10000,10.48,
random,56,6,1060,10000,10.6,
random,56,7,0,10000,0.0,
random,56,8,0,10000,0.0,
random,56,9,0,10000,0.0,
random,57,0,0,10000,0.0,
random,57,1,4918,10000,49.18,
random,57,2,1051,10000,10.51,
random,57,3,999,10000,9.99,
random,57,4,973,10000,9.73,
random,57,5,1022,10000,10.22,
random,57,6,1037,10000,10.37,
random,57,7,0,10000,0.0,
random,57,8,0,10000,0.0,
random,57,9,0,10000,0.0,
random,58,0,0,10000,0.0,
random,58,1,4978,10000,49.78,
random,58,2,986,10000,9.86,
random,58,3,989,10000,9.89,
random,58,4,962,10000,9.62,
random,58,5,1005,10000,10.05,
random,58,6,1080,10000,10.8,
random,58,7,0,10000,0.0,
random,58,8,0,10000,0.0,
random,58,9,0,10000,0.0,
random,59,0,0,10000,0.0,
random,59,1,4955,10000,49.55,
random,59,2,1069,10000,10.69,
random,59,3,1008,10000,10.08,
random,59,4,996,10000,9.959999999999999,
random,59,5,1019,10000,10.190000000000001,
random,59,6,953,10000,9.53,
random,59,7,0,10000,0.0,
random,59,8,0,10000,0.0,
random,59,9,0,10000,0.0,
random,60,0,0,10000,0.0,
random,60,1,4950,10000,49.5,
random,60,2,1081,10000,10.81,
random,60,3,958,10000,9.58,
random,60,4,1018,10000,10.18,
random,60,5,971,10000,9.71,
random,60,6,1022,10000,10.22,
random,60,7,0,10000,0.0,
random,60,8,0,10000,0.0,
random,60,9,0,10000,0.0,
random,61,0,0,10000,0.0,
random,61,1,4976,10000,49.76,
random,61,2,968,10000,9.68,
random,61,3,999,10000,9.99,
random,61,4,1012,10000,10.12,
random,61,5,966,10000,9.66,
random,61,6,1079,10000,10.79,
random,61,7,0,10000,0.0,
random,61,8,0,10000,0.0,
random,61,9,0,10000,0.0,
random,62,0,0,10000,0.0,
random,62,1,5008,10000,50.080000000000005,
random,62,2,984,10000,9.84,
random,62,3,1036,10000,10.36,
random,62,4,1027,10000,10.27,
random,62,5,940,10000,9.4,
random,62,6,1005,10000,10.05,
random,62,7,0,10000,0.0,
random,62,8,0,10000,0.0,
random,62,9,0,10000,0.0,
random,63,0,0,10000,0.0,
random,63,1,4928,10000,49.28,
random,63,2,1005,10000,10.05,
random,63,3,1080,10000,10.8,
random,63,4,981,10000,9.81,
random,63,5,1034,10000,10.34,
random,63,6,972,10000,9.719999999999999,
random,63,7,0,10000,0.0,
random,63,8,0,10000,0.0,
random,63,9,0,10000,0.0,
random,64,0,0,10000,0.0,
random,64,1,4928,10000,49.28,
random,64,2,1075,10000,10.75,
random,64,3,965,10000,9.65,
random,64,4,1017,10000,10.17,
random,64,5,1016,10000,10.16,
random,64,6,999,10000,9.99,
random,64,7,0,10000,0.0,
random,64,8,0,10000,0.0,
random,64,9,0,10000,0.0,
random,65,0,0,10000,0.0,
random,65,1,5006,10000,50.06,
random,65,2,970,10000,9.700000000000001,
random,65,3,994,10000,9.94,
random,65,4,1001,10000,10.01,
random,65,5,983,10000,9.83,
random,65,6,1046,10000,10.459999999999999,
random,65,7,0,10000,0.0,
random,65,8,0,10000,0.0,
random,65,9,0,10000,0.0,
random,66,0,0,10000,0.0,
random,66,1,4994,10000,49.94,
random,66,2,1014,10000,10.14,
random,66,3,988,10000,9.879999999999999,
random,66,4,993,10000,9.93,
random,66,5,994,10000,9.94,
random,66,6,1017,10000,10.17,
random,66,7,0,10000,0.0,
random,66,8,0,10000,0.0,
random,66,9,0,10000,0.0,
random,67,0,0,10000,0.0,
random,67,1,5031,10000,50.31,
random,67,2,992,10000,9.92,
random,67,3,1019,10000,10.190000000000001,
random,67,4,1003,10000,10.03,
random,67,5,994,10000,9.94,
random,67,6,961,10000,9.610000000000001,
random,67,7,0,10000,0.0,
random,67,8,0,10000,0.0,
random,67,9,0,10000,0.0,
random,68,0,0,10000,0.0,
random,68,1,4930,10000,49.3,
random,68,2,961,10000,9.610000000000001,
random,68,3,980,10000,9.8,
random,68,4,1042,10000,10.42,
random,68,5,1025,10000,10.25,
random,68,6,1062,10000,10.620000000000001,
random,68,7,0,10000,0.0,
random,68,8,0,10000,0.0,
random,68,9,0,10000,0.0,
random,69,0,0,10000,0.0,
random,69,1,4968,10000,49.68,
random,69,2,1033,10000,10.33,
random,69,3,1027,10000,10.27,
random,69,4,1012,10000,10.12,
random,69,5,1024,10000,10.24,
random,69,6,936,10000,9.36,
random,69,7,0,10000,0.0,
random,69,8,0,10000,0.0,
random,69,9,0,10000,0.0,
random,70,0,0,10000,0.0,
random,70,1,5081,10000,50.81,
random,70,2,984,10000,9.84,
random,70,3,979,10000,9.790000000000001,
random,70,4,975,10000,9.75,
random,70,5,1011,10000,10.11,
random,70,6,970,10000,9.700000000000001,
random,70,7,0,10000,0.0,
random,70,8,0,10000,0.0,
random,70,9,0,10000,0.0,
random,71,0,0,10000,0.0,
random,71,1,5050,10000,50.5,
random,71,2,1013,10000,10.13,
random,71,3,961,10000,9.610000000000001,
random,71,4,971,10000,9.71,
random,71,5,996,10000,9.959999999999999,
random,71,6,1009,10000,10.09,
random,71,7,0,10000,0.0,
random,71,8,0,10000,0.0,
random,71,9,0,10000,0.0,
random,72,0,0,10000,0.0,
random,72,1,5083,10000,50.83,
random,72,2,985,10000,9.85,
random,72,3,1007,10000,10.07,
random,72,4,975,10000,9.75,
random,72,5,1025,10000,10.25,
