Types,Looptime,number,numberOfappearance,invokeperloop,percentage,
uniform,0,0,0,10000,0.0,
uniform,0,1,5044,10000,50.44,
uniform,0,2,998,10000,9.98,
uniform,0,3,949,10000,9.49,
uniform,0,4,1021,10000,10.209999999999999,
uniform,0,5,993,10000,9.93,
uniform,0,6,995,10000,9.950000000000001,
uniform,0,7,0,10000,0.0,
uniform,0,8,0,10000,0.0,
uniform,0,9,0,10000,0.0,
uniform,1,0,0,10000,0.0,
uniform,1,1,5068,10000,50.68,
uniform,1,2,978,10000,9.78,
uniform,1,3,1023,10000,10.23,
uniform,1,4,968,10000,9.68,
uniform,1,5,988,10000,9.879999999999999,
uniform,1,6,975,10000,9.75,
uniform,1,7,0,10000,0.0,
uniform,1,8,0,10000,0.0,
uniform,1,9,0,10000,0.0,
uniform,2,0,0,10000,0.0,
uniform,2,1,4980,10000,49.8,
uniform,2,2,1000,10000,10.0,
uniform,2,3,1021,10000,10.209999999999999,
uniform,2,4,946,10000,9.46,
uniform,2,5,1024,10000,10.24,
uniform,2,6,1029,10000,10.290000000000001,
uniform,2,7,0,10000,0.0,
uniform,2,8,0,10000,0.0,
uniform,2,9,0,10000,0.0,
uniform,3,0,0,10000,0.0,
uniform,3,1,5011,10000,50.11,
uniform,3,2,1009,10000,10.09,
uniform,3,3,1042,10000,10.42,
uniform,3,4,1013,10000,10.13,
uniform,3,5,986,10000,9.86,
uniform,3,6,939,10000,9.39,
uniform,3,7,0,10000,0.0,
uniform,3,8,0,10000,0.0,
uniform,3,9,0,10000,0.0,
uniform,4,0,0,10000,0.0,
uniform,4,1,4965,10000,49.65,
uniform,4,2,1023,10000,10.23,
uniform,4,3,1019,10000,10.190000000000001,
uniform,4,4,1045,10000,10.45,
uniform,4,5,990,10000,9.9,
uniform,4,6,958,10000,9.58,
uniform,4,7,0,10000,0.0,
uniform,4,8,0,10000,0.0,
uniform,4,9,0,10000,0.0,
uniform,5,0,0,10000,0.0,
uniform,5,1,5021,10000,50.21,
uniform,5,2,989,10000,9.89,
uniform,5,3,1021,10000,10.209999999999999,
uniform,5,4,1053,10000,10.530000000000001,
uniform,5,5,946,10000,9.46,
uniform,5,6,970,10000,9.700000000000001,
uniform,5,7,0,10000,0.0,
uniform,5,8,0,10000,0.0,
uniform,5,9,0,10000,0.0,
uniform,6,0,0,10000,0.0,
uniform,6,1,5127,10000,51.27,
uniform,6,2,940,10000,9.4,
uniform,6,3,1026,10000,10.26,
uniform,6,4,933,10000,9.33,
uniform,6,5,1003,10000,10.03,
uniform,6,6,971,10000,9.71,
uniform,6,7,0,10000,0.0,
uniform,6,8,0,10000,0.0,
uniform,6,9,0,10000,0.0,
uniform,7,0,0,10000,0.0,
uniform,7,1,4982,10000,49.82,
uniform,7,2,1016,10000,10.16,
uniform,7,3,999,10000,9.99,
uniform,7,4,999,10000,9.99,
uniform,7,5,981,10000,9.81,
uniform,7,6,1023,10000,10.23,
uniform,7,7,0,10000,0.0,
uniform,7,8,0,10000,0.0,
uniform,7,9,0,10000,0.0,
uniform,8,0,0,10000,0.0,
uniform,8,1,5025,10000,50.24999999999999,
uniform,8,2,993,10000,9.93,
uniform,8,3,1000,10000,10.0,
uniform,8,4,997,10000,9.969999999999999,
uniform,8,5,996,10000,9.959999999999999,
uniform,8,6,989,10000,9.89,
uniform,8,7,0,10000,0.0,
uniform,8,8,0,10000,0.0,
uniform,8,9,0,10000,0.0,
uniform,9,0,0,10000,0.0,
uniform,9,1,5049,10000,50.49,
uniform,9,2,1014,10000,10.14,
uniform,9,3,991,10000,9.91,
uniform,9,4,996,10000,9.959999999999999,
uniform,9,5,987,10000,9.87,
uniform,9,6,963,10000,9.629999999999999,
uniform,9,7,0,10000,0.0,
uniform,9,8,0,10000,0.0,
uniform,9,9,0,10000,0.0,
uniform,10,0,0,10000,0.0,
uniform,10,1,5048,10000,50.480000000000004,
uniform,10,2,1036,10000,10.36,
uniform,10,3,998,10000,9.98,
uniform,10,4,981,10000,9.81,
uniform,10,5,1005,10000,10.05,
uniform,10,6,932,10000,9.32,
uniform,10,7,0,10000,0.0,
uniform,10,8,0,10000,0.0,
uniform,10,9,0,10000,0.0,
uniform,11,0,0,10000,0.0,
uniform,11,1,5041,10000,50.41,
uniform,11,2,972,10000,9.719999999999999,
uniform,11,3,1016,10000,10.16,
uniform,11,4,976,10000,9.76,
uniform,11,5,1048,10000,10.48,
uniform,11,6,947,10000,9.47,
uniform,11,7,0,10000,0.0,
uniform,11,8,0,10000,0.0,
uniform,11,9,0,10000,0.0,
uniform,12,0,0,10000,0.0,
uniform,12,1,4995,10000,49.95,
uniform,12,2,998,10000,9.98,
uniform,12,3,1030,10000,10.299999999999999,
uniform,12,4,1026,10000,10.26,
uniform,12,5,999,10000,9.99,
uniform,12,6,952,10000,9.520000000000001,
uniform,12,7,0,10000,0.0,
uniform,12,8,0,10000,0.0,
uniform,12,9,0,10000,0.0,
uniform,13,0,0,10000,0.0,
uniform,13,1,5032,10000,50.32,
uniform,13,2,993,10000,9.93,
uniform,13,3,978,10000,9.78,
uniform,13,4,1024,10000,10.24,
uniform,13,5,967,10000,9.67,
uniform,13,6,1006,10000,10.059999999999999,
uniform,13,7,0,10000,0.0,
uniform,13,8,0,10000,0.0,
uniform,13,9,0,10000,0.0,
uniform,14,0,0,10000,0.0,
uniform,14,1,5016,10000,50.160000000000004,
uniform,14,2,964,10000,9.64,
uniform,14,3,997,10000,9.969999999999999,
uniform,14,4,1012,10000,10.12,
uniform,14,5,1046,10000,10.459999999999999,
uniform,14,6,965,10000,9.65,
uniform,14,7,0,10000,0.0,
uniform,14,8,0,10000,0.0,
uniform,14,9,0,10000,0.0,
uniform,15,0,0,10000,0.0,
uniform,15,1,4960,10000,49.6,
uniform,15,2,1013,10000,10.13,
uniform,15,3,995,10000,9.950000000000001,
uniform,15,4,1044,10000,10.440000000000001,
uniform,15,5,967,10000,9.67,
uniform,15,6,1021,10000,10.209999999999999,
uniform,15,7,0,10000,0.0,
uniform,15,8,0,10000,0.0,
uniform,15,9,0,10000,0.0,
uniform,16,0,0,10000,0.0,
uniform,16,1,5000,10000,50.0,
uniform,16,2,1048,10000,10.48,
uniform,16,3,984,10000,9.84,
uniform,16,4,987,10000,9.87,
uniform,16,5,997,10000,9.969999999999999,
uniform,16,6,984,10000,9.84,
uniform,16,7,0,10000,0.0,
uniform,16,8,0,10000,0.0,
uniform,16,9,0,10000,0.0,
uniform,17,0,0,10000,0.0,
uniform,17,1,5020,10000,50.2,
uniform,17,2,1030,10000,10.299999999999999,
uniform,17,3,966,10000,9.66,
uniform,17,4,1010,10000,10.100000000000001,
uniform,17,5,1031,10000,10.31,
uniform,17,6,943,10000,9.43,
uniform,17,7,0,10000,0.0,
uniform,17,8,0,10000,0.0,
uniform,17,9,0,10000,0.0,
uniform,18,0,0,10000,0.0,
uniform,18,1,4973,10000,49.730000000000004,
uniform,18,2,1012,10000,10.12,
